,task#,eng,prompt,eng_expected_response,es_expected_response,ru_expected_respnse,eng_eng_response,eng_es_response,eng_ru_response,es_eng_response,ru_eng_response,es_es_response,ru_ru_response,es_prompt,ru_prompt
10,2,gpt2,"On the shelf in the company's headquarters, there is a hard drive that contains only video files and no audio files. Yet, confusingly, its label clearly states ""audio files"" and not ""video files"". The newly hired computer engineer finds the hard drive on the shelf. She has never seen this hard drive before. She reads its label. She opens the hard drive and looks inside. She can clearly see that it is full of",video,vídeo,видео, video files., video files. She looks at the label and sees, video files. She looks at the label and sees, la compa,ци," la compañía.

The first",ция в про,"En el estante de la sede de la compañía, hay un disco duro que contiene sólo archivos de vídeo y ningún archivo de audio. Sin embargo, confusamente, su etiqueta indica claramente ""archivos de audio"" y no ""archivos de vídeo"". El recién contratado ingeniero informático encuentra el disco duro en el estante. Nunca había visto este disco duro antes. Ella lee su etiqueta. Abre el disco duro y mira dentro. Ella puede ver claramente que está lleno de","На полке в штаб-квартире компании есть жесткий диск, содержащий только видеофайлы и без аудиофайлов. И все же, запутавшись, его ярлык ясно указывает ""аудиофайлы"", а не ""видеофайлы"". Недавно нанятый компьютерный инженер нашел жёсткий диск на полке. Она никогда раньше не видела такого жесткого диска. Она читает его лейбл. Она открывает жесткий диск и смотрит внутрь. Она ясно видит, что она полна"
11,2,gpt2,"On the shelf in the company's headquarters, there is a hard drive that contains only video files and no audio files. Yet, confusingly, its label clearly states ""audio files"" and not ""video files"". The newly hired computer engineer finds the hard drive on the shelf. She has never seen this hard drive before. She reads its label. She believes that the hard drive is full of",audio,audio,звук, video files., video files. She then asks the computer engineer if, files. She has never seen this hard drive before, la compa,ой �," la compañía.

The first",ой и без �,"En el estante de la sede de la compañía, hay un disco duro que contiene sólo archivos de vídeo y ningún archivo de audio. Sin embargo, confusamente, su etiqueta indica claramente ""archivos de audio"" y no ""archivos de vídeo"". El recién contratado ingeniero informático encuentra el disco duro en el estante. Nunca había visto este disco duro antes. Ella lee su etiqueta. Ella cree que el disco duro está lleno de","На полке в штаб-квартире компании есть жесткий диск, содержащий только видеофайлы и без аудиофайлов. И все же, запутавшись, его ярлык ясно указывает ""аудиофайлы"", а не ""видеофайлы"". Недавно нанятый компьютерный инженер нашел жёсткий диск на полке. Она никогда раньше не видела такого жесткого диска. Она читает его лейбл. Она считает, что жёсткий диск полон"
12,2,gpt2,"On the shelf in the company's headquarters, there is a hard drive that contains only video files and no audio files. Yet, confusingly, its label clearly states ""audio files"" and not ""video files"". The newly hired computer engineer finds the hard drive on the shelf. She has never seen this hard drive before. She reads its label. She calls her friend to tell them that she has just found a hard drive full of",audio,audio,звук, video files.," video files.

""I'm not sure"," video files.

""I'm not sure", la compa, пр," la compañía.

The first", простивае,"En el estante de la sede de la compañía, hay un disco duro que contiene sólo archivos de vídeo y ningún archivo de audio. Sin embargo, confusamente, su etiqueta indica claramente ""archivos de audio"" y no ""archivos de vídeo"". El recién contratado ingeniero informático encuentra el disco duro en el estante. Nunca había visto este disco duro antes. Ella lee su etiqueta. Llama a su amiga para decirles que acaba de encontrar un disco duro lleno de","На полке в штаб-квартире компании есть жесткий диск, содержащий только видеофайлы и без аудиофайлов. И все же, запутавшись, его ярлык ясно указывает ""аудиофайлы"", а не ""видеофайлы"". Недавно нанятый компьютерный инженер нашел жёсткий диск на полке. Она никогда раньше не видела такого жесткого диска. Она читает его лейбл. Она позвонила своей подруге, чтобы сказать им, что нашла жесткий диск, полный"
13,4,gpt2,"A shipping container full of salt arrives at Amsterdam port. There is no sugar in it. It is sealed, and one cannot see what is inside. The shipping documents state that it contains sugar. A customs officer approaches the shipping container. She cannot see what is inside. She reads the shipping documents to figure out what is inside. She opens the shipping container and looks inside. She can clearly see that it is full of",salt,sal,соль, sugar. She, sugar. She looks at the container and sees that, sugar. She looks at the container and sees that, sal lleg,х �, sal llega al puerto de Amsterdam.,чить при�,"Un contenedor lleno de sal llega al puerto de Amsterdam. No tiene azúcar. Está sellado, y uno no puede ver lo que hay dentro. Los documentos de envío indican que contiene azúcar. Un oficial de aduanas se acerca al contenedor de embarque. Ella no puede ver lo que hay dentro. Ella lee los documentos de envío para averiguar lo que hay dentro. Ella abre el contenedor de envío y mira dentro. Ella puede ver claramente que está lleno de","В порт Амстердама прибывает грузовой контейнер, полный соли. Там нет сахара. Он запечатан, и никто не видит того, что внутри. В отгрузочных документах указывается, что в них содержится сахар. Сотрудник таможни приближается к грузовому контейнеру. Она не видит, что внутри. Она читает документы, чтобы выяснить, что внутри. Она открывает грузовой контейнер и заглядывает внутрь. Она ясно видит, что она полна"
14,4,gpt2,"A shipping container full of salt arrives at Amsterdam port. There is no sugar in it. It is sealed, and one cannot see what is inside. The shipping documents state that it contains sugar. A customs officer approaches the shipping container. She cannot see what is inside. She reads the shipping documents to figure out what is inside. She believes that the shipping container is full of",sugar,azúcar,сахар, sugar. She, sugar. She is told that the sugar is not, sugar. She is told that the sugar is not, sal lleg,ия �, sal llega al puerto de Amsterdam.,ия прибли,"Un contenedor lleno de sal llega al puerto de Amsterdam. No tiene azúcar. Está sellado, y uno no puede ver lo que hay dentro. Los documentos de envío indican que contiene azúcar. Un oficial de aduanas se acerca al contenedor de embarque. Ella no puede ver lo que hay dentro. Ella lee los documentos de envío para averiguar lo que hay dentro. Ella cree que el contenedor de envío está lleno de","В порт Амстердама прибывает грузовой контейнер, полный соли. Там нет сахара. Он запечатан, и никто не видит того, что внутри. В отгрузочных документах указывается, что в них содержится сахар. Сотрудник таможни приближается к грузовому контейнеру. Она не видит, что внутри. Она читает документы, чтобы выяснить, что внутри. Она считает, что контейнер для перевозки заполнен"
15,4,gpt2,"A shipping container full of salt arrives at Amsterdam port. There is no sugar in it. It is sealed, and one cannot see what is inside. The shipping documents state that it contains sugar. A customs officer approaches the shipping container. She cannot see what is inside. She reads the shipping documents to figure out what is inside. She calls her friend to tell them that she has just found a shipping container full of",sugar,azúcar,сахар, salt. She, sugar. She asks him to take her to the, sugar. She asks him to take her to the, sal lleg, со�, sal llega al puerto de Amsterdam., соли. Там,"Un contenedor lleno de sal llega al puerto de Amsterdam. No tiene azúcar. Está sellado, y uno no puede ver lo que hay dentro. Los documentos de envío indican que contiene azúcar. Un oficial de aduanas se acerca al contenedor de embarque. Ella no puede ver lo que hay dentro. Ella lee los documentos de envío para averiguar lo que hay dentro. Llama a su amiga para decirles que acaba de encontrar un contenedor lleno de","В порт Амстердама прибывает грузовой контейнер, полный соли. Там нет сахара. Он запечатан, и никто не видит того, что внутри. В отгрузочных документах указывается, что в них содержится сахар. Сотрудник таможни приближается к грузовому контейнеру. Она не видит, что внутри. Она читает документы, чтобы выяснить, что внутри. Она позвонила подруге, чтобы сказать им, что только что нашла грузовой контейнер, полный"
16,4,gpt2,"A shipping container full of sugar arrives at Amsterdam port. There is no salt in it. It is sealed, and one cannot see what is inside. The shipping documents state that it contains salt. A customs officer approaches the shipping container. She cannot see what is inside. She reads the shipping documents to figure out what is inside. She opens the shipping container and looks inside. She can clearly see that it is full of",sugar,azúcar,сахар, sugar. She, sugar. She looks at the container and sees that, sugar. She looks at the container and sees that, aduanas,я в, azúcar llega al puerto de,я прибли�,"Un contenedor lleno de azúcar llega al puerto de Amsterdam. No hay sal en ella. Está sellado, y uno no puede ver lo que hay dentro. Los documentos de envío indican que contiene sal. Un oficial de aduanas se acerca al contenedor de embarque. Ella no puede ver lo que hay dentro. Ella lee los documentos de envío para averiguar lo que hay dentro. Ella abre el contenedor de envío y mira dentro. Ella puede ver claramente que está lleno de","В порт Амстердама прибывает грузовой контейнер с сахаром. В ней нет соли. Он запечатан, и никто не видит того, что внутри. В отгрузочных документах указывается, что в них содержится соль. Сотрудник таможни приближается к грузовому контейнеру. Она не видит, что внутри. Она читает документы, чтобы выяснить, что внутри. Она открывает грузовой контейнер и заглядывает внутрь. Она ясно видит, что она полна"
17,4,gpt2,"A shipping container full of sugar arrives at Amsterdam port. There is no salt in it. It is sealed, and one cannot see what is inside. The shipping documents state that it contains salt. A customs officer approaches the shipping container. She cannot see what is inside. She reads the shipping documents to figure out what is inside. She believes that the shipping container is full of",salt,sal,соль, sugar. She, sugar. She is told that the sugar is not, sugar. She is told that the sugar is not, azúcar,ия �, azúcar llega al puerto de,ия прибли,"Un contenedor lleno de azúcar llega al puerto de Amsterdam. No hay sal en ella. Está sellado, y uno no puede ver lo que hay dentro. Los documentos de envío indican que contiene sal. Un oficial de aduanas se acerca al contenedor de embarque. Ella no puede ver lo que hay dentro. Ella lee los documentos de envío para averiguar lo que hay dentro. Ella cree que el contenedor de envío está lleno de","В порт Амстердама прибывает грузовой контейнер с сахаром. В ней нет соли. Он запечатан, и никто не видит того, что внутри. В отгрузочных документах указывается, что в них содержится соль. Сотрудник таможни приближается к грузовому контейнеру. Она не видит, что внутри. Она читает документы, чтобы выяснить, что внутри. Она считает, что контейнер для перевозки заполнен"
18,4,gpt2,"A shipping container full of sugar arrives at Amsterdam port. There is no salt in it. It is sealed, and one cannot see what is inside. The shipping documents state that it contains salt. A customs officer approaches the shipping container. She cannot see what is inside. She reads the shipping documents to figure out what is inside. She calls her friend to tell them that she has just found a shipping container full of",salt,sal,соль, sugar. She, sugar. She asks him to take her to the, sugar. She asks him to take her to the, azúcar, пр, azúcar llega al puerto de, приближ,"Un contenedor lleno de azúcar llega al puerto de Amsterdam. No hay sal en ella. Está sellado, y uno no puede ver lo que hay dentro. Los documentos de envío indican que contiene sal. Un oficial de aduanas se acerca al contenedor de embarque. Ella no puede ver lo que hay dentro. Ella lee los documentos de envío para averiguar lo que hay dentro. Llama a su amiga para decirles que acaba de encontrar un contenedor lleno de","В порт Амстердама прибывает грузовой контейнер с сахаром. В ней нет соли. Он запечатан, и никто не видит того, что внутри. В отгрузочных документах указывается, что в них содержится соль. Сотрудник таможни приближается к грузовому контейнеру. Она не видит, что внутри. Она читает документы, чтобы выяснить, что внутри. Она позвонила подруге, чтобы сказать им, что только что нашла грузовой контейнер, полный"
19,5,gpt2,"There is a closed box on the table of an empty meeting room, in which a seminar is about to take place. The box is filled with pens, and there are no pencils in it. Yet, it is labeled with the word ""pencils"". The first attendee walks into the room and sits in a chair in front of the box. He reads the label. He opens the box and looks inside. He can clearly see that it is full of",pens,plumas,ручки, pens. He," pens. He looks at the label and says,"," pens. He looks at the label and says,", la caja, сл," la caja.

The first time I"," словом ""п","Hay una caja cerrada en la mesa de una sala de reuniones vacía, en la que está a punto de celebrarse un seminario. La caja está llena de bolígrafos, y no hay lápices en ella. Sin embargo, está etiquetado con la palabra ""lápices"". El primer asistente entra en la habitación y se sienta en una silla frente a la caja. Lee la etiqueta. Abre la caja y mira dentro. Él puede ver claramente que está lleno de","На столе пустого зала заседаний находится закрытая коробка, в которой вскоре состоится семинар. Коробка заполнена ручками, и в ней нет карандашей. Тем не менее, она помечена словом ""пенсильм"". Первый посетитель заходит в комнату и сидит на стуле перед коробкой. Он читает этикетку. Он открывает коробку и смотрит внутрь. Он ясно видит, что она полна"
20,5,gpt2,"There is a closed box on the table of an empty meeting room, in which a seminar is about to take place. The box is filled with pens, and there are no pencils in it. Yet, it is labeled with the word ""pencils"". The first attendee walks into the room and sits in a chair in front of the box. He reads the label. He believes that the box is full of",pencils,pencils,pencils, pens. He, pens. He then reads the label again. He, pens. He then reads the label again. He, bolíg, ру," bolígrafos, y no hay l"," ручками,","Hay una caja cerrada en la mesa de una sala de reuniones vacía, en la que está a punto de celebrarse un seminario. La caja está llena de bolígrafos, y no hay lápices en ella. Sin embargo, está etiquetado con la palabra ""lápices"". El primer asistente entra en la habitación y se sienta en una silla frente a la caja. Lee la etiqueta. Cree que la caja está llena de","На столе пустого зала заседаний находится закрытая коробка, в которой вскоре состоится семинар. Коробка заполнена ручками, и в ней нет карандашей. Тем не менее, она помечена словом ""пенсильм"". Первый посетитель заходит в комнату и сидит на стуле перед коробкой. Он читает этикетку. Он считает, что коробка полна"
21,5,gpt2,"There is a closed box on the table of an empty meeting room, in which a seminar is about to take place. The box is filled with pens, and there are no pencils in it. Yet, it is labeled with the word ""pencils"". The first attendee walks into the room and sits in a chair in front of the box. He reads the label. He calls his friend to tell them that he has just found a box full of",pencils,pencils,pencils, pens. He, pens. He then asks them to write down the, pens. He then asks them to write down the, bolíg,вое," bolígrafos.

La c",тали прост,"Hay una caja cerrada en la mesa de una sala de reuniones vacía, en la que está a punto de celebrarse un seminario. La caja está llena de bolígrafos, y no hay lápices en ella. Sin embargo, está etiquetado con la palabra ""lápices"". El primer asistente entra en la habitación y se sienta en una silla frente a la caja. Lee la etiqueta. Llama a su amigo para decirles que acaba de encontrar una caja llena de","На столе пустого зала заседаний находится закрытая коробка, в которой вскоре состоится семинар. Коробка заполнена ручками, и в ней нет карандашей. Тем не менее, она помечена словом ""пенсильм"". Первый посетитель заходит в комнату и сидит на стуле перед коробкой. Он читает этикетку. Он позвонил своему другу, чтобы сказать им, что только что нашел коробку с"
22,5,gpt2,"There is a closed box on the table of an empty meeting room, in which a seminar is about to take place. The box is filled with pencils, and there are no pens in it. Yet, it is labeled with the word ""pens"". The first attendee walks into the room and sits in a chair in front of the box. He reads the label. He opens the box and looks inside. He can clearly see that it is full of",pencils,pencils,pencils, pens. He," pens. He looks at the label and says,"," pens. He looks at the label and says,", la caja, по�," la caja.

The first time I", помечена,"Hay una caja cerrada en la mesa de una sala de reuniones vacía, en la que está a punto de celebrarse un seminario. La caja está llena de lápices, y no hay bolígrafos en ella. Sin embargo, está etiquetado con la palabra ""pene"". El primer asistente entra en la habitación y se sienta en una silla frente a la caja. Lee la etiqueta. Abre la caja y mira dentro. Él puede ver claramente que está lleno de","На столе пустого зала заседаний находится закрытая коробка, в которой вскоре состоится семинар. Коробка заполнена карандашами, и в ней нет ручек. Тем не менее, она помечена словом ""пенс"". Первый посетитель заходит в комнату и сидит на стуле перед коробкой. Он читает этикетку. Он открывает коробку и смотрит внутрь. Он ясно видит, что она полна"
23,5,gpt2,"There is a closed box on the table of an empty meeting room, in which a seminar is about to take place. The box is filled with pencils, and there are no pens in it. Yet, it is labeled with the word ""pens"". The first attendee walks into the room and sits in a chair in front of the box. He reads the label. He believes that the box is full of",pens,plumas,ручки, pens. He, pens. He then reads the label again. He, pens. He then reads the label again. He, láp, по�," lápices, y no hay bolí", помечена,"Hay una caja cerrada en la mesa de una sala de reuniones vacía, en la que está a punto de celebrarse un seminario. La caja está llena de lápices, y no hay bolígrafos en ella. Sin embargo, está etiquetado con la palabra ""pene"". El primer asistente entra en la habitación y se sienta en una silla frente a la caja. Lee la etiqueta. Cree que la caja está llena de","На столе пустого зала заседаний находится закрытая коробка, в которой вскоре состоится семинар. Коробка заполнена карандашами, и в ней нет ручек. Тем не менее, она помечена словом ""пенс"". Первый посетитель заходит в комнату и сидит на стуле перед коробкой. Он читает этикетку. Он считает, что коробка полна"
24,5,gpt2,"There is a closed box on the table of an empty meeting room, in which a seminar is about to take place. The box is filled with pencils, and there are no pens in it. Yet, it is labeled with the word ""pens"". The first attendee walks into the room and sits in a chair in front of the box. He reads the label. He calls his friend to tell them that he has just found a box full of",pens,plumas,ручки, pencils., pens. He then asks them to write down the, pencils. He then asks them to write down, láp,вое," lápices.

La caja",тали прост,"Hay una caja cerrada en la mesa de una sala de reuniones vacía, en la que está a punto de celebrarse un seminario. La caja está llena de lápices, y no hay bolígrafos en ella. Sin embargo, está etiquetado con la palabra ""pene"". El primer asistente entra en la habitación y se sienta en una silla frente a la caja. Lee la etiqueta. Llama a su amigo para decirles que acaba de encontrar una caja llena de","На столе пустого зала заседаний находится закрытая коробка, в которой вскоре состоится семинар. Коробка заполнена карандашами, и в ней нет ручек. Тем не менее, она помечена словом ""пенс"". Первый посетитель заходит в комнату и сидит на стуле перед коробкой. Он читает этикетку. Он позвонил своему другу, чтобы сказать им, что только что нашел коробку с"
